Janitor 40 Male Married $44089
Banker Widowed 64 $276067 Male
Student 8 $0 Single Female
37 $255367 Actor Single Female
Doctor $325361 46 Single Male
Student 9 Male $0 Single
Single Student $0 Female 10
17 Male Student Single $0
Student Single 19 $0 Female
Male Mechanic 41 $56329 Married
$114178 Soldier Male 56 Married
$10426 Married 83 Retiree Female
Male Salesman 25 $88548 Married
Nurse $88262 Female 39 Divorced
$10760 Retiree 73 Male Married
Married $10957 Retiree Female 92
Married 94 Male Businessman $142776
72 $4532 Married Retiree Female
Businessman $72652 Female 96 Single
22 $0 Female Student Married
Married $10319 Female 96 Retiree
15 Male Student $0 Single
Unemployed Male 1 Single $0
Widowed 70 Retiree Female $7168
14 Male Single $0 Student
90 $7343 Female Single Retiree
51 Single $76160 Female Salesman
94 Male $6105 Retiree Married
$73922 63 Soldier Male Widowed
Female 100 Married Retiree $4643
Male 83 Widowed Retiree $6335
Student Male 8 Single $0
$9818 Retiree Female Single 68
$297086 Married Male Accountant 59
Female $49172 61 Single Soldier
$4071 95 Single Female Retiree
Doctor $121616 34 Married Female
Student 23 Male Single $0
Married 36 $129899 Author Female
46 Married Zoologist Female $48471
Florist $38455 63 Female Married
95 Retiree $7090 Female Married
Female Married $4104 67 Retiree
Female 86 Divorced $4210 Retiree
Retiree Widowed 75 Female $4628
Secretary Married $88788 55 Male
15 Student $0 Male Single
$41067 Married 55 Businessman Male
$300946 Female 91 Married Businessman
$0 13 Student Male Single
64 Female Married Researcher $69558
18 Male Single $0 Student
67 Retiree Married $8922 Female
Male $79176 62 Botanist Single
71 Married Businessman $144218 Male
$96968 Teacher Female Married 33
23 Single Male $0 Student
Married 69 Female Retiree $6960
Female 24 Single Student $0
Female Single $220180 60 Psychiatrist
Male $174977 40 Married Banker
Businessman Single Male $220682 89
$0 Single 12 Student Female
40 Married $84211 Male Zoologist
$4979 Male Retiree 82 Married
Married Female 59 Botanist $91870
Retiree Female 78 Married $7299
Female 70 Retiree $9362 Married
Married $99910 Secretary 60 Female
Single 12 Student $0 Female
Widowed Veterinarian Male $72301 28
Widowed Policeman 25 $103887 Female
Doctor Single 42 Female $175214
Married 63 Female Nurse $109919
Divorced 45 Female $115064 Dentist
Student $0 Female 6 Single
Nurse Male Single $70077 64
$26463 Married Bookeeper 26 Male
$6155 78 Retiree Female Divorced
54 Other Married $78568 Soldier
58 Female $108521 Married Salesman
$8081 Retiree Married Female 97
93 Female Retiree Single $4703
$390188 49 Married Doctor Female
Male Single $11795 23 Driver
Student Male Single 23 $0
Married 26 $240441 Accountant Female
Married Male Clerk $10665 20
Waiter $47229 Married 52 Female
Pilot 55 Married $353578 Male
Male $8368 Retiree Married 70
Doctor Male $273742 Single 28
Male Single $7176 21 Driver
Retiree 76 $6485 Divorced Male
Married 29 $12570 Mechanic Female
$399036 Female Married Artist 38
Architect 51 Married Female $376665
Author Male Married $181360 36
Unemployed Single 4 Female $0
Married 62 Male Carpenter $421250
Female 6 $0 Student Single
Male $178075 Single Photographer 25
Female Single 81 $7650 Retiree
Single $80082 Female 41 Policeman
$76036 Divorced Female 46 Firefighter
Male Mechanic $11852 20 Single
Married Male Retiree 78 $11430
46 Married Male Lawyer $203226
31 Married Female Lawyer $191890
53 Driver $63341 Single Female
Female 76 $9441 Retiree Married
17 $0 Single Student Male
Single 64 Businessman Female $277315
Pilot Married Female $418313 63
Married Male 74 Retiree $8750
Architect $214066 44 Married Male
Female Single Student $0 22
Single $4176 Female Retiree 99
$7168 81 Female Married Retiree
$8198 Female Retiree 87 Divorced
$0 Unemployed Single Male 3
Female $11120 Married Retiree 90
Female $9230 Married Retiree 91
Doctor $114269 Single Female 42
88 Retiree Female Married $7082
$0 Single 18 Male Student
18 $0 Student Single Female
$9856 Married Male 98 Retiree
86 Retiree Single $6609 Female
Student 20 Single Male $0
11 Student Male Single $0
Female 3 $0 Single Unemployed
86 Single $8337 Male Retiree
Researcher Male Single 40 $77084
$117689 58 Single Female Firefighter
Single Male Student 22 $7073
Student Female $100 Single 6
Pilot Female Married 64 $385270
Single Male $300 Student 7
57 Married $80513 Soldier Male
$4115 94 Retiree Female Single
$7099 24 Plumber Single Female
Florist $55526 54 Married Male
60 Married Architect $368793 Male
Plumber Married $53735 53 Male
Retiree Female $10120 Single 96
Female Unemployed Single 5 $0
Programmer Married $62078 Female 25
Single $83980 Chemist Female 45
$76067 Married Male 37 Programmer
Male Veterinarian Married $54965 52
Retiree 89 Female Married $5920
Single Female $189723 33 Pilot
Mechanic Male $12340 33 Married
Female Unemployed $0 Single 5
Male 94 $8856 Retiree Married
$9269 Retiree Female 100 Single
$190333 44 Female Divorced Musician
Female 3 Single $0 Unemployed
99 Retiree Female Married $10395
Married 48 $139778 Architect Male
Student Single 17 Male $0
99 Single Male $8927 Retiree
Retiree Married Male $6354 98
Married Retiree $4818 93 Female
Married Male Professor 37 $328669
Retiree 92 Female Married $6805
27 Male $110242 Married Psychiatrist
Retiree Female 93 Married $10921
Student Female 8 Single $0
Female $23955 Bookeeper 43 Married
Female 89 Retiree Widowed $6734
Married 84 Retiree Male $10388
Male Pilot $360103 30 Married
Female Divorced Surgeon 49 $288632
Retiree Male Married $7820 78
Salesman Male 53 $113263 Divorced
Male Businessman 84 $151096 Married
Soldier Married $78232 27 Male
Male $9153 Divorced Retiree 75
$5246 Retiree 74 Married Female
Single Male 35 $13574 Barista
Married 25 Professor Female $102558
$100 Single Female 10 Student
Male Divorced Retiree 100 $6324
Married 100 Retiree $11550 Male
Programmer 62 $69141 Single Female
95 Retiree Male Widowed $9146
Married 90 Retiree Male $8388
Female 78 $252543 Businessman Married
Married 62 Female Librarian $20344
12 Student Single $0 Male
Married $5554 Female 88 Retiree
Male 32 Psychiatrist Married $176563
$46545 37 Married Salesman Male
$196715 Male 45 Surgeon Married
Plumber Married $21377 Female 29
12 Female Student $0 Single
56 Banker Female $131279 Married
Single Retiree Male $5395 72
$349889 60 Male Musician Single
$0 Single Other 9 Student
42 $442790 Widowed Male Professor
Female $7165 Retiree 89 Married
Female Widowed $197919 67 Businessman
17 Student Single $0 Female
26 $305473 Married Female Banker
Retiree Single Female 94 $4633
68 Male $5931 Retiree Single
11 Single Student $0 Female
$4963 68 Female Retiree Single
64 $53557 Secretary Single Male
$426861 Surgeon Male 33 Married
Single $0 Student Other 10
$5549 Retiree 84 Male Single
$214034 54 Married Male Banker
Retiree $5794 Male 80 Married
Male $0 Student Single 6
Female $100 8 Student Single
$423507 Female Businessman Married 93
52 Widowed $62342 Soldier Female
Botanist Married 59 $93994 Male
Married 87 $5417 Retiree Male
Student Female $0 24 Married
20 Student Married $3900 Female
Single $0 Student Male 6
Single $0 3 Unemployed Male
Single Retiree $8676 90 Female
83 Married $5688 Male Retiree
Florist $43711 Male 39 Married
Retiree Male $10221 Divorced 98
Male 5 Unemployed $0 Single
70 $8805 Retiree Married Female
$286656 Married 49 Male Author
$45011 Male Teacher 35 Married
Student Female 12 $0 Single
Single $0 Female 23 Student
Married 51 $31089 Male Florist
Male $7165 Married 80 Retiree
70 Retiree Married Male $10139
Student 12 Female Single $0
Married $58249 Male Driver 62
Male Retiree Single $10594 89
Single $6465 66 Female Retiree
Single Male 14 Student $0
Student $5853 Single Male 23
Female Student 16 Single $0
96 Retiree Divorced Female $9508
Widowed Doctor 55 $422258 Female
42 Firefighter Male $113583 Married
$11256 Married Retiree Male 88
$33983 Other Widowed 60 Musician
Widowed Chemist 53 $88446 Male
Single 17 Male Student $945
Male $253822 Author Married 55
$116037 Researcher Male 28 Single
61 Single $412904 Musician Female
Programmer Female $45774 Divorced 31
Married $5145 Retiree Male 73
97 $8972 Female Single Retiree
38 Female Married Veterinarian $78439
Retiree $4240 Female Married 96
20 Single $10753 Mechanic Female
$8206 Single Female 19 Student
Retiree Male Single 93 $6212
$0 21 Male Single Student
Married Accountant Female $149998 57
100 $9093 Widowed Retiree Female
Male Retiree $4298 88 Married
Retiree Married $8885 Male 71
Unemployed Single Female 3 $0
Divorced Retiree Female $4617 81
Female 99 Retiree Widowed $6634
98 $11100 Retiree Single Male
85 Married Female Retiree $11982
$6477 Female Divorced Retiree 86
Retiree $11999 Female Married 68
Female Married $178725 47 Businessman
65 Male Retiree $7870 Married
Unemployed 2 Female Single $0
Female 15 Single $0 Student
Single Male Model 47 $413595
Divorced $4710 74 Retiree Male
Musician 49 Female $226469 Divorced
29 Married Male $285933 Banker
Cashier Married Male $12525 39
Male Chemist 62 Widowed $80760
Male Divorced $7754 Retiree 68
$119687 Married Male 40 Driver
Single Female $103586 38 Botanist
Widowed 90 $6114 Retiree Female
Single Designer Male $167349 25
Male Single 97 Retiree $9117
Male Single $399 12 Student
Firefighter 38 Male Married $104213
Female Single 16 $4298 Student
54 Married Nurse $75685 Female
Widowed Female Retiree $9246 69
62 Married Artist $245977 Female
$65839 Male Nurse 62 Single
$0 Female 6 Student Single
90 Businessman Male Married $391133
Single 41 Researcher $107494 Female
75 $4872 Female Divorced Retiree
Married Zoologist 58 $79614 Male
Plumber Divorced 35 Female $15653
Student 11 $0 Single Female
$0 Male 5 Unemployed Single
Single 5 Unemployed Male $0
Retiree 71 Married Male $5381
26 Model Married $287915 Male
Retiree 68 Single $8873 Male
Female Married 38 $213335 Architect
Student $0 Single 23 Female
Male Retiree Married $7464 98
$0 Student 23 Male Single
Student Single $0 15 Male
Male Married $8581 Retiree 69
Retiree $9700 Single 90 Male
Male Single 24 $11894 Janitor
22 $0 Male Student Single
$0 Single Female Student 8
69 Retiree $9303 Male Widowed
Female Single Student 7 $0
77 $6456 Female Married Retiree
Male Widowed $37833 Businessman 100
$0 Single Unemployed Female 3
Single 17 $0 Female Student
$4239 Widowed Retiree Female 92
20 Widowed Female $9943 Cashier
Unemployed Single $0 Female 1
3 $0 Unemployed Single Female
37 Married Psychiatrist $256683 Female
Student 11 Female $0 Single
Retiree $9940 Female 72 Married
Male Married 63 $141695 Pilot
Male Single $10698 Retiree 100
Male $59653 36 Programmer Married
Female $5831 Student 18 Single
Male 54 $332242 Married Lawyer
Female $0 Student 7 Single
Retiree 70 $11377 Single Male
Firefighter Female Single $104321 37
Married $10701 75 Female Retiree
Married Retiree $5566 92 Male
83 $5950 Retiree Married Male
$8970 Female Retiree 92 Married
74 $9381 Female Retiree Married
Female $4731 Retiree Divorced 65
Student Male $4611 Single 18
78 Retiree Female Married $6767
Retiree $6074 Single 85 Female
Married Psychiatrist $227859 35 Male
Male Single Student 13 $0
Married $67244 48 Female Soldier
$7943 Retiree 85 Married Male
Male Single 99 $8525 Retiree
97 Male Divorced $11761 Retiree
Female Barista $13083 34 Single
79 Widowed Retiree Female $6448
84 Married $11556 Female Retiree
Single Zoologist 34 Male $47544
Married Businessman $380048 Female 33
Male $8235 Single Mechanic 22
Single Male $0 Student 12
Female $71656 58 Married Zoologist
Married Female $212261 Businessman 93
Female 41 Married Policeman $75482
Female $441412 Widowed Businessman 92
$0 13 Student Female Single
Architect Married 31 Male $265228
Retiree $8085 78 Female Single
$62193 Author Single 34 Male
Married Male 33 Nurse $89856
Actor $296688 Single 55 Male
Single 8 Male $0 Student
Married 40 $105895 Programmer Male
93 Retiree $6137 Married Male
Married Female 71 Retiree $6964
Widowed 56 Female Chef $324566
$8338 Male Retiree 84 Married
Single Female 68 $9661 Retiree
Male Single $0 Unemployed 4
Female Married 82 $9272 Retiree
Married Professor $231047 55 Female
Retiree Female $11717 Married 66
Married $33979 53 Male Florist
Student Single $887 Female 14
73 Retiree Married $8069 Male
93 Female Widowed Retiree $5964
$0 21 Female Student Single
Female Doctor Married $370192 29
Male Model $449947 Married 26
$89713 Female 41 Driver Married
$8470 Female Retiree Married 95
Male $9385 Retiree 75 Married
Female 30 $187009 Single Psychiatrist
Female Psychiatrist $185140 Widowed 29
Widowed 30 Researcher $103030 Female
11 Single Student Male $0
83 Female Married $7029 Retiree
88 Married $10133 Retiree Female
Photographer $211024 49 Male Married
Student $0 Male Single 9
Student 9 Single Male $0
67 $255348 Businessman Female Widowed
Retiree Other $11754 98 Married
42 Married $87654 Designer Male
Single Student Female 19 $0
Student $773 Single 12 Female
Single Author Female 33 $164135
Married Retiree Male $10547 99
Male $4429 Single 81 Retiree
$9771 Single 85 Male Retiree
Female Unemployed Single $0 4
Male Single Student $0 17
$48147 Married 27 Male Soldier
$7301 Divorced Retiree Male 85
$106755 60 Married Male Chemist
$7584 Retiree Married Female 70
Retiree Male 84 Married $7719
Female $7204 97 Retiree Married
12 Student Female $0 Single
Retiree $8810 Female Married 75
Female $50631 53 Married Nanny
Unemployed Single Male $0 4
Married Female Nurse $60766 52
64 Musician $37757 Male Married
$5411 Married Retiree Male 77
Single Student Female $0 20
Retiree Widowed Male 70 $6847
Male Florist $14195 45 Single
74 Retiree $4508 Married Male
Married $86423 45 Secretary Female
49 Male Single Veterinarian $95730
Male $0 Single 14 Student
Female Widowed 65 Businessman $355418
Businessman Female $407996 89 Single
56 Female $81608 Widowed Policeman
74 Retiree Female Married $6783
Retiree Divorced 94 Female $5107
$6055 Retiree 75 Married Female
Student $0 Female 24 Single
Doctor Female $303261 64 Married
29 Musician $22660 Married Male
73 $10828 Single Retiree Female
Retiree Single Male 77 $4217
Author $359601 30 Male Single
Female 36 Botanist Single $87780
Male 57 Married Accountant $325363
Widowed Female 72 $4262 Retiree
$691 Single Student 12 Female
$0 5 Male Single Unemployed
39 Female Married $306617 Surgeon
Retiree 67 Divorced $10977 Female
62 Male Firefighter Married $106644
Student $0 21 Divorced Male
Male Single 46 Botanist $113120
$36412 Single Male 55 Librarian
$9668 72 Widowed Retiree Male
Widowed 65 Retiree $5785 Female
$159420 40 Male Banker Married
Female Single $0 21 Student
Married Retiree Male $9679 100
Widowed $11901 Retiree 97 Female
64 Secretary Male Divorced $88889
23 Student Female Single $0
Single $0 8 Student Male
Married Male $7938 65 Retiree
Single 85 Male Retiree $9172
Female Married 69 Retiree $4531
8 Student $0 Single Female
5 Unemployed Male Single $0
Retiree 93 $11525 Widowed Male
Single $0 Unemployed Male 4
Single Librarian 41 $54721 Female
Other 55 $128373 Author Single
Married Retiree Male $4391 85
Married 61 Clerk Female $31540
Accountant Single 44 $345715 Female
Retiree 67 Female Married $11702
Married $58528 Librarian Male 35
98 Married Retiree $8842 Female
Married 81 $119880 Male Businessman
$7487 Retiree Female 87 Married
Male Single Psychiatrist 25 $208991
Student Single 11 $0 Male
47 Male Lawyer Married $443904
Married $58066 Female Driver 56
Married $98265 35 Male Chemist
Retiree Male Widowed $8410 84
70 Male Retiree Single $5818
Single Female 19 $0 Student
Student 9 Single $0 Female
Male Married $163972 41 Lawyer
Unemployed Single $0 5 Male
$0 10 Single Female Student
Plumber Married 54 Female $20181
Male Businessman 74 Single $240445
Single $86856 87 Businessman Female
$62788 30 Botanist Male Married
$24155 Clerk Female Married 50
31 Widowed $372578 Female Model
Firefighter $63261 36 Male Married
Single 5 $0 Male Unemployed
67 Male $235919 Businessman Married
$9997 Female Retiree 75 Married
80 $68538 Female Businessman Married
78 Male Divorced $7273 Retiree
22 $0 Single Student Male
22 Clerk Male Married $9094
Retiree Single 68 Female $6638
43 Male $97938 Married Veterinarian
$0 Student Male Single 15
34 $373978 Divorced Male Lawyer
$59430 Female 60 Married Florist
51 Married $83136 Female Musician
Married $86999 34 Nurse Female
$118111 Female Married 34 Veterinarian
Zoologist 62 Male $62449 Single
Male 8 $0 Single Student
Female $0 7 Student Single
Male Student 10 $0 Single
$130759 Female Professor 33 Married
Single $0 5 Unemployed Male
$112183 Male 38 Married Banker
$8388 Female 83 Retiree Married
Single 47 $69760 Nurse Female
Retiree Married 94 Female $5989
Carpenter $59681 Single Female 29
80 $4190 Widowed Retiree Male
Married Female 61 $164230 Model
$0 Male Single Unemployed 5
Retiree Single $8072 83 Male
$102487 Male Married 29 Architect
100 $9045 Retiree Married Male
Married $11520 Female 69 Retiree
35 $327772 Married Carpenter Female
$10856 Female 79 Divorced Retiree
Male $11976 Married Retiree 93
$297715 62 Male Pilot Married
69 Single $6362 Male Retiree
Retiree Female $8414 Married 81
7 Male Student $0 Single
Female 72 Retiree $4295 Single
Other Married 50 $346375 Surgeon
$9731 Retiree 82 Female Divorced
Retiree Female $8791 Widowed 97
29 Married $208669 Lawyer Male
Pilot $155310 Female 61 Married
Retiree $8099 80 Single Male
$100967 Married Musician 44 Female
80 Retiree $9828 Divorced Female
Female 16 $0 Student Single
Widowed $10081 Retiree 71 Male
Divorced Male Retiree $10393 65
$9568 Married Female 90 Retiree
Pilot Female 31 $159710 Married
$268298 Judge Divorced 38 Male
Veterinarian $63568 Male Married 44
Chef Married $109713 41 Male
85 $9562 Female Single Retiree
65 Married Male $9619 Retiree
57 Married Musician Male $207047
Retiree $5801 Married Female 87
Single Student $0 14 Male
$311869 Male Married 48 Chef
Male Married Zoologist $89173 55
38 $120749 Judge Female Married
Unemployed 4 Single $0 Male
Single $14868 53 Other Artist
Married 66 Retiree Male $4988
$8650 Male Retiree 80 Divorced
Botanist $83332 37 Female Married
$5551 73 Retiree Single Female
10 Female Student Single $0
Widowed 40 Male Judge $405919
Musician Married Male 50 $103239
Male $6461 Retiree 81 Single
$0 Student Male Single 16
80 Female Single $7645 Retiree
Female Married Retiree 74 $5641
Student Married $4413 Male 20
34 Male Widowed $203668 Surgeon
Female Married 89 Retiree $4282
Divorced Barista Female 48 $16177
55 $49319 Divorced Cashier Female
Unemployed Male $0 1 Single
Male Single Mechanic 19 $9795
Female 96 Married $6423 Retiree
13 $0 Single Student Female
Single Male 50 $85400 Designer
Unemployed 3 Single Male $0
Male $6594 Married 87 Retiree
5 Unemployed Male Single $0
Married Psychiatrist 47 Male $374790
Married 46 $54591 Chef Male
Married $301114 37 Accountant Male
Retiree $8200 95 Female Single
Married $7817 Female Retiree 91
Divorced 88 $8062 Retiree Male
Single Doctor 36 $172773 Male
Single 1 Unemployed $0 Male
$386412 Designer 46 Married Female
$116648 Psychiatrist Male 30 Widowed
$5008 Retiree Male 71 Married
Married $6721 78 Retiree Male
$405202 Photographer Widowed 32 Male
Nurse $54668 Female 52 Married
Retiree $10930 Single Male 72
Divorced Retiree Male 100 $7833
Female Businessman $445895 Married 77
1 Single Male $0 Unemployed
Female Researcher Married 58 $114729
$0 Married Student Female 21
Male 44 Banker $370897 Widowed
Botanist 41 $116932 Divorced Female
Male Businessman $399786 99 Married
$5706 Single 82 Retiree Female
Female Retiree Married $11836 92
Single Student Male 23 $6635
Student 13 $0 Single Male
Retiree 75 $10429 Married Male
Retiree Male Married $9160 68
$9230 92 Retiree Married Male
Businessman 65 $290998 Male Widowed
Researcher Male Divorced 40 $82843
Male Retiree $7999 95 Married
Married 80 Female $8420 Retiree
$3074 Married Student Male 22
Retiree $6442 Female 94 Married
38 Single $227173 Architect Female
$6262 Female Divorced 96 Retiree
Male Married 25 $78566 Salesman
$40832 31 Male Programmer Married
19 Single $0 Female Student
$331361 Female 34 Judge Married
Female $6599 Single Retiree 92
37 Carpenter Male $255869 Married
$4060 99 Retiree Single Female
Male 31 $53010 Secretary Married
$10450 Retiree Female 80 Married
$0 Student Single Female 14
Retiree 73 Married $7672 Female
Male $331388 Married Businessman 71
Married $111323 34 Female Dentist
74 Married Retiree Female $4951
$0 Other Student 8 Single
$320959 45 Single Chef Male
Male Married Retiree $11922 98
81 Retiree $6097 Male Married
80 $7545 Retiree Male Married
Divorced $268018 Male 63 Businessman
78 Male Retiree Married $7294
$442212 47 Single Judge Male
37 Barista $48606 Divorced Male
61 Married Researcher $99349 Male
99 $6936 Retiree Female Widowed
Student Single 13 Female $0
Male 54 Married Nurse $50231
Female Student Single $0 13
Unemployed Female 1 $0 Single
$11757 70 Married Male Retiree
Divorced Retiree $9848 Male 96
$0 18 Student Single Female
Single $233037 Actor Female 41
$0 Male Unemployed 2 Single
$0 Single Unemployed 3 Male
Divorced $11860 Retiree 97 Female
Married $74108 40 Male Zoologist
Widowed 31 Female Bookeeper $56417
$80042 Male Veterinarian Married 28
Male 58 $87902 Married Carpenter
Divorced Retiree Male 97 $6938
Male Married $320217 Businessman 94
3 $0 Single Female Unemployed
Male 21 Single Student $7826
Widowed $8645 78 Male Retiree
Retiree Male $4242 67 Divorced
$85520 60 Female Divorced Zoologist
36 $374105 Pilot Male Married
Student 17 Single $0 Male
$11980 Single Retiree Male 87
1 $0 Male Single Unemployed
Single 21 Student Female $4601
Female $152042 Accountant Single 26
Male $10716 Retiree Married 91
Unemployed Male 3 Single $0
Single Female $0 Student 7
Female 82 Widowed $6361 Retiree
Judge Female 52 $165663 Widowed
Male $0 12 Single Student
53 Male $211207 Psychiatrist Single
Female 36 $104068 Single Dentist
Widowed Retiree Male 65 $4455
34 Married Programmer $68253 Female
38 Female $43189 Plumber Married
$10679 Female Model Married 23
$41978 Single 46 Male Firefighter
Married Retiree 73 $10186 Male
Single Other Student $0 23
Married 87 Male $9596 Retiree
16 Single Female $0 Student
Married Male Retiree $6632 98
Male 12 Student Single $0
$101022 Widowed Researcher 56 Female
52 Single Female Botanist $108265
Single Retiree $4213 91 Female
Divorced Male 55 Firefighter $106853
69 Retiree Male Married $6638
Female 11 Single Student $0
Male Driver Single $75991 57
Retiree Female $9577 Single 76
Married $77222 61 Nurse Male
100 Single Retiree Female $11937
$6955 Male 81 Retiree Single
Retiree Female $11334 Single 65
Botanist 27 $111411 Married Male
Male Retiree Single 92 $11621
$0 Single Female Unemployed 4
Married $36846 Female Model 59
Retiree $5799 Male Married 100
Unemployed 5 Female Single $0
Single Retiree Female 91 $6254
$0 Female 15 Student Single
Divorced Dentist 40 $76710 Female
Driver Male Married 27 $92003
Female Unemployed $0 Single 4
11 Student Male Single $0
56 $281749 Male Married Actor
84 $9262 Divorced Retiree Female
Female 8 Single Student $0
$4149 24 Single Male Student
Married Female 81 Retiree $8512
Other Married $102045 50 Dentist
Male Married 97 Retiree $10964
Married Male Retiree $4662 72
Married Teacher 52 $65718 Male
71 Female Retiree Married $5775
Single Unemployed 1 Female $0
Salesman 42 Married Male $60084
Businessman Married $436641 Female 69
$202406 Male 34 Psychiatrist Married
$71207 Married Businessman Male 82
Married Retiree 71 $8897 Female
Retiree $7990 Widowed Male 80
Married Male 98 Retiree $9251
25 Widowed $81581 Male Secretary
Married 96 $9423 Female Retiree
46 $68266 Driver Male Widowed
Female Married 31 Researcher $98277
Zoologist Male Married $98063 60
$81310 Nurse 55 Female Married
$8808 90 Male Retiree Married
62 $97979 Married Male Photographer
Female Unemployed Single $0 4
Architect Female 56 Married $434535
Divorced $7348 Male 97 Retiree
$101296 Married 54 Policeman Female
$8881 68 Retiree Female Single
50 Male $127104 Photographer Married
Male 6 $300 Single Student
Female Single 13 $0 Student
Female Accountant Divorced $247359 55
$0 Single Unemployed 4 Female
$4037 Single Retiree 71 Male
39 Single Firefighter Female $100810
$7236 91 Male Retiree Married
26 Married $74116 Nurse Female
54 $114239 Male Zoologist Single
48 Dentist Male $69453 Married
Married $6320 94 Female Retiree
Banker $164181 Single 64 Female
$4317 Student Male Married 19
82 $9458 Married Female Retiree
$11226 Retiree 65 Female Divorced
$4328 16 Female Single Student
$0 Single Female 10 Student
64 $50582 Female Single Firefighter
Professor $244018 55 Male Divorced
$80340 Single Female Chemist 27
$6271 Married Retiree Male 84
$239680 Female Married Psychiatrist 57
$4685 90 Retiree Married Female
73 $7302 Female Single Retiree
$22815 Married Waiter 35 Female
65 Retiree Female $5714 Single
$9297 Retiree 65 Single Female
4 Unemployed Female Single $0
Female Married Retiree 74 $9132
Single 11 Student Male $0
$10277 Married Retiree 84 Male
Male Designer $248646 60 Married
Married Female 50 Model $218020
Single Student $0 12 Male
Married Retiree 81 $4732 Male
Model Single $8939 Female 22
$6444 Female 98 Retiree Married
71 Married $11233 Retiree Male
Student 12 Male $0 Single
Married $190713 Male 81 Businessman
$3954 20 Student Single Male
Married Author 41 Female $80763
$6586 Married Retiree Male 73
$224020 69 Female Businessman Married
$19076 Janitor Male 27 Married
Male 23 Student $0 Single
45 Driver $119555 Male Single
$208093 59 Businessman Male Married
Female 23 Single $0 Student
Divorced 61 Male Soldier $66585
Single $10027 Retiree 85 Female
$19349 Married Other 34 Nanny
Married $43210 44 Clerk Female
Single Female $0 12 Student
Unemployed Female $0 3 Single
Widowed Male $7481 Retiree 83
Actor Male Divorced $144643 42
6 Male Student Single $0
Dentist Female 33 Widowed $95515
Married Female $31620 Businessman 84
29 Professor $290526 Male Single
$5272 Retiree Married Male 92
Single Student 17 $2812 Male
Married Soldier Male 30 $76092
Student $0 Female Single 18
Plumber $55868 Divorced Male 61
Businessman Single 85 $229381 Female
$84818 Male Married Teacher 37
Student Male Single 17 $0
55 Male Secretary $42006 Divorced
Male Retiree 99 Married $11377
$292791 Male Married 59 Banker
Married $5550 Male Retiree 65
83 Male Retiree $7008 Single
Married Judge $220061 Male 63
Single $0 Female Student 11
Divorced $8406 Retiree 72 Male
Single 22 Female $0 Student
Student Male 20 $0 Married
20 $7992 Student Male Single
Firefighter 41 $62222 Male Widowed
$141869 Lawyer 64 Married Male
19 Student Male $0 Married
Musician Married $146659 Male 39
93 Divorced Retiree $8456 Female
$88845 47 Policeman Divorced Male
Married Female $9507 Retiree 85
Female $8320 Married 96 Retiree
Single Male 8 Student $0
Married Male 94 $9747 Retiree
Firefighter $76021 Widowed 31 Male
Married $7082 Male 77 Retiree
Student Married 18 $1751 Male
Retiree Female Widowed 85 $7092
Female 21 $7412 Single Driver
$42605 38 Widowed Cashier Female
Retiree $6919 89 Male Married
$0 5 Unemployed Male Single
37 $378037 Married Female Designer
Female 91 Retiree Single $7326
Male $289219 Actor 61 Married
Retiree 94 $5245 Married Female
Married $10329 Retiree Male 91
Male $0 16 Student Single
$8984 Single Cashier Male 20
Female Student Single 23 $0
Veterinarian Married 37 $54030 Female
$117725 Widowed 29 Policeman Male
Male Married 99 Retiree $5116
40 $109346 Female Nurse Married
Unemployed $0 3 Female Single
Widowed $194907 Male Banker 30
Female $0 Single 12 Student
100 Female Widowed Businessman $435501
$0 Single 1 Male Unemployed
Student Single Male $0 8
Retiree $10383 Male 82 Single
Retiree Male Widowed $7660 86
$9665 79 Female Single Retiree
Female Single $0 Student 20
Married Male 44 Model $136227
$5964 99 Female Married Retiree
$0 Single Female 9 Student
Chemist Single 61 Female $111213
55 Male $74842 Researcher Single
Married 92 $5769 Retiree Male
Nurse 53 Married $77112 Other
Single 54 Chemist $119733 Male
$0 Male 3 Unemployed Single
76 Male Widowed $10686 Retiree
$55467 27 Female Married Bookeeper
56 Janitor $49964 Married Other
$160076 Other 27 Divorced Professor
$6184 Female Retiree Married 71
11 Student Single Male $0
Retiree 65 Male Single $4041
Female 53 Divorced $387372 Architect
17 Other $0 Single Student
Male 52 Teacher Widowed $102637
Female Banker 35 $427569 Married
Retiree Male Single 70 $5789
Male 100 Retiree $11493 Married
Retiree Male $10568 86 Married
Male 49 Actor $348637 Divorced
$57065 Divorced 62 Female Driver
$9473 82 Male Retiree Single
$310654 Male Widowed 71 Businessman
Male 15 $0 Student Single
Banker 43 Male Single $230790
Widowed 54 Barista Male $47361
$369099 65 Businessman Married Female
Married Veterinarian Male $89138 37
Female Married 27 Waiter $39463
$7017 Male Retiree Married 84
Married $4519 Male Retiree 67
Female 31 Married $114372 Secretary
Single Actor $317661 Male 51
Female Married 77 Retiree $10016
Single $52631 Firefighter 53 Male
Male 65 Married $5722 Retiree
Female 53 Married Nurse $40546
Single 2 Male $0 Unemployed
Unemployed Single Male $0 4
14 Single Female $0 Student
$6203 81 Married Retiree Female
Model 33 $252506 Married Female
13 Single $0 Female Student
Other Botanist Married 64 $79990
Married Male 28 Author $329002
15 Female $0 Single Student
$10851 Retiree Married Male 74
69 Female Single Retiree $11606
$6158 Retiree 91 Female Married
